headword,words,ner,docSize,sentSize
Attribution-ShareAlike,[Attribution-ShareAlike],O,1,1
Commons,[Commons],O,1,1
Wikipedia,[Contact", Wikipedia],O,1,1
statement,[Cookie", statement],O,1,1
Motor,[Green", Field", Motor],O,1,1
Group,[Group],ORGANIZATION,1,6
Citroën,[Groupe", PSA", Citroën],ORGANIZATION,1,1
Grumett,[Grumett],O,1,1
Guitolar,[Guitolar],O,1,1
Heavenly,[Heavenly],O,1,1
Hellas,[Hellas],O,1,1
Hennessey,[Hennessey],PERSON,1,1
Hidden,[Hidden],O,1,1
History,[History],O,1,3
Horse,[Horse],O,1,1
Huachen,[Huachen],PERSON,1,1
Bus,[Huanghai", Bus],LOCATION,1,1
Hulme,[Hulme],PERSON,1,1
Sonata,[Hyundai", Sonata],ORGANIZATION,1,1
Inc.,[Inc.],ORGANIZATION,1,1
Index,[Index],MISC,1,1
Indio,[Indio],LOCATION,1,1
WARV,[Industrias", WARV],O,1,1
Interlanguage,[Interlanguage],O,1,1
Vehicle,[International", Vehicle],ORGANIZATION,1,1
d'Automobiles,[Internationale", des", Constructeurs", d'Automobiles],ORGANIZATION,1,1
Inventor,[Inventor],O,1,1
Khodro,[Iran", Khodro],LOCATION,1,1
Ireland,[Ireland],O,1,1
Italy,[Italy],LOCATION,1,1
manufacturers,[Italy", manufacturers],LOCATION,1,1
JMC,[JMC],O,1,1
Jaguar,[Jaguar],ORGANIZATION,1,1
January,[January],DATE,1,2
manufacturers,[Japan", manufacturers],LOCATION,1,1
Jeep,[Jeep],O,1,1
Jianghuai,[Jianghuai],PERSON,1,1
Jiangling,[Jiangling],ORGANIZATION,1,1
Jiangnan,[Jiangnan],O,1,1
Jonway,[Jonway],O,1,1
MOTOR,[KERMAN", MOTOR],LOCATION,1,1
Karma,[Karma],O,1,1
Kaveer,[Kaveer],PERSON,1,1
Kazakhstan,[Kazakhstan],LOCATION,1,1
Kingdom,[Kingdom],LOCATION,1,3
manufacturers,[Kingdom", manufacturers],LOCATION,1,1
Korea,[Korea],LOCATION,1,2
Rover,[Land", Rover],O,1,1
Lanka,[Lanka],LOCATION,1,1
License,[License],O,1,1
Lists,[Lists],O,1,1
Lyons,[Lyons],PERSON,1,1
Car,[MPG", Car],O,1,1
page,[Main", page],O,1,1
Martin,[Martin],PERSON,1,1
Lagonda,[Martin", Lagonda],PERSON,1,1
Mauser,[Mauser],PERSON,1,1
Automotive,[McLaren", Automotive],ORGANIZATION,1,1
Systems,[Measuring", Systems],O,1,1
Connection,[Media", Connection],O,1,1
Minor,[Minor],O,1,1
view,[Mobile", view],O,1,1
Motor,[Motor],ORGANIZATION,1,1
Roewe,[Motor", Roewe],ORGANIZATION,1,1
vehicle,[Motor", vehicle],O,1,1
manufacturers,[Motorcycle", manufacturers],O,1,1
Names,[Names],MISC,1,1
menu,[Navigation", menu],O,1,1
Nordex,[Nordex],O,1,1
November,[November],DATE,1,1
d'Automobiles,[Organisation", Internationale", des", Constructeurs", d'Automobiles],ORGANIZATION,1,1
information,[Page", information],O,1,1
show,[Paris", motor", show],LOCATION,1,1
Permanent,[Permanent],O,1,1
Policy,[Policy],O,1,1
Printable,[Printable],O,1,1
Policy,[Privacy", Policy],O,1,1
policy,[Privacy", policy],O,1,1
Random,[Random],O,1,1
Recent,[Recent],O,1,1
Related,[Related],O,1,1
September,[September],DATE,1,1
Serbia,[Serbia],LOCATION,1,1
Union,[Soviet", Union],LOCATION,1,1
Special,[Special],O,1,1
Srpskohrvatski,[Srpskohrvatski],LOCATION,1,1
Sweden,[Sweden],LOCATION,1,1
manufacturers,[Sweden", manufacturers],LOCATION,1,1
Switzerland,[Switzerland],LOCATION,1,1
Talk,[Talk],O,1,1
Terms,[Terms],O,1,1
Timeline,[Timeline],O,1,2
Top,[Top],O,1,1
manufacturers,[Truck", manufacturers],O,1,1
manufacturers,[United", Kingdom", manufacturers],LOCATION,1,1
manufacturers,[United", States", manufacturers],LOCATION,1,1
Use,[Use],O,1,1
Western,[Western],MISC,1,1
item,[Wikidata", item],O,1,1
Wikimedia,[Wikimedia", Foundation],ORGANIZATION,1,1
®,[Wikipedia", ®],ORGANIZATION,1,1
Zimmer,[Zimmer],PERSON,1,1
^,[^],NUMBER,1,1
additional,[additional],O,1,1
encyclopedia,[automobile", encyclopedia],O,1,1
manufacturers,[automobile", manufacturers],O,1,8
automotive,[automotive],O,1,1
names,[brand", names],O,1,1
brands,[brands],O,1,2
capita,[capita],O,1,1
names,[car", brand", names],O,1,1
exports,[car", exports],O,1,1
categories,[categories],O,1,1
engine,[combustion", engine],O,1,1
crisis,[crisis],O,1,1
d'Automobiles,[d'Automobiles],O,1,1
detailed,[detailed],O,1,1
groups,[groups],O,1,1
last,[last],O,1,1
number,[link", template", link", number],O,1,1
more,[more],O,1,1
organization,[organization],O,1,1
trademark,[trademark],O,1,1
®,[®],O,1,1
65,[65],PERCENT,1,1
6th,[6th],ORDINAL,1,1
75,[75],MONEY,1,1
8,[8],DURATION,1,2
92,[92],NUMBER,1,1
Don,[:-RRB-", Don],O,1,1
???,[???],NUMBER,1,1
A,[A],O,1,1
Wiz,[A", Meleon", Gee", Wiz],O,1,1
AAA,[AAA],ORGANIZATION,1,1
AS,[AS],O,1,1
AS,[AS],O,1,1
Matters,[Accident", Matters],O,1,1
Accord,[Accord],ORGANIZATION,1,1
Accord,[Accord],O,1,1
Agencies,[Agencies],O,1,1
Allstate,[Allstate],O,1,1
Animals,[Animals],O,1,1
Anonymous,[Anonymous],PERSON,1,1
Anonymous,[Anonymous],PERSON,1,1
Anonymous,[Anonymous],PERSON,1,1
Anonymous,[Anonymous],PERSON,1,1
Anonymous,[Anonymous],PERSON,1,1
Anonymous,[Anonymous],LOCATION,1,1
Anonymous,[Anonymous],O,1,1
Anonymous,[Anonymous],PERSON,1,1
Anonymous,[Anonymous],PERSON,1,1
Anything,[Anything],O,1,1
Matters,[Appetite", Matters],O,1,1
Art,[Art],O,1,2
Audi,[Audi],ORGANIZATION,1,1
Audi,[Audi],ORGANIZATION,1,1
Australia,[Australia],LOCATION,1,1
Snooker,[Automobile", Snooker],O,1,1
BLACK,[BLACK],O,1,1
BUT,[BUT],O,1,1
IT,[BUT", IT],O,1,1
Reports,[Bad", Police", Reports],O,1,1
Basic,[Basic],O,1,1
Basilio,[Basilio],PERSON,1,1
Bees,[Bees],O,1,1
Belgium,[Belgium],LOCATION,1,1
Black,[Black],ORGANIZATION,1,2
Black,[Black],O,1,1
Blog,[Blog],O,1,1
Body,[Body],O,1,1
Branding,[Branding],O,1,4
